id_customer,id_product,time,category
1000007,111248,01.02.2013,B
1000007,114103,16.04.2013,B
1000007,123196,24.05.2013,C
1000049,108466,12.03.2013,A
1000049,108515,21.08.2013,A
1000049,113470,17.10.2013,B
1000077,107565,15.09.2013,A
1000077,111883,11.10.2013,B
1000077,113982,17.10.2013,B
1000077,122386,14.12.2013,C
1000233,110187,12.02.2013,B
1000233,111248,21.04.2013,B
1000233,111510,21.06.2013,B
1000233,112700,23.06.2013,B
1000233,115162,17.08.2013,B
1000237,106767,20.04.2013,A
1000237,108401,11.05.2013,A
1000237,112831,26.05.2013,B
1000237,113348,27.06.2013,B
1000237,114334,18.07.2013,B
1000299,111635,19.09.2013,B
1000299,122532,26.09.2013,C
1000299,122769,30.09.2013,C
1000299,122869,06.10.2013,C
1000299,123300,11.10.2013,C
1000299,123327,15.10.2013,C
1000299,129531,04.11.2013,C
1000299,230857,06.11.2013,D
1000405,112134,15.01.2013,B
1000405,121326,26.02.2013,C
1000467,110550,08.01.2013,B
1000467,111732,12.02.2013,B
1000467,111795,16.02.2013,B
1000467,123076,23.03.2013,C
1000467,246285,01.04.2013,D
1000476,107617,11.04.2013,A
1000476,108117,02.05.2013,A
1000476,113135,01.07.2013,B
1000476,115156,12.07.2013,B
1000503,107687,05.02.2013,A
1000503,107900,03.03.2013,A
1000503,108890,05.04.2013,A
1000503,111942,27.04.2013,B
1000503,113129,30.05.2013,B
1000516,107180,12.03.2013,A
1000516,108447,21.04.2013,A
1000516,113232,17.06.2013,B
1000535,107724,15.06.2013,A
1000535,110346,09.07.2013,B
1000535,111095,23.07.2013,B
1000535,113785,05.08.2013,B
1000535,115049,31.08.2013,B
1000535,115554,12.09.2013,B
1000544,107214,06.03.2013,A
1000544,111845,18.03.2013,B
1000544,113264,12.04.2013,B
1000544,114123,01.05.2013,B
1000597,107019,05.12.2013,A
1000597,107817,17.12.2013,A
1000597,110578,28.12.2013,B
1000612,107352,02.05.2013,A
1000612,109609,24.02.2013,A
1000612,121663,19.03.2013,C
1000613,108925,05.07.2013,A
1000613,109284,19.07.2013,A
1000613,109815,31.07.2013,A
1000613,111224,17.08.2013,B
1000613,113323,21.08.2013,B
1000736,108381,04.01.2013,A
1000736,109658,12.01.2013,A
1000736,111176,26.01.2013,B
1000736,114401,17.02.2013,B
1000736,122032,28.02.2013,C
1000736,122078,01.03.2013,C
1000736,122264,09.03.2013,C
1000736,122449,16.03.2013,C
1000736,123103,25.03.2013,C
1000736,123123,30.03.2013,C
1000736,123263,03.04.2013,C
1000736,123302,08.04.2013,C
1000736,133237,16.04.2013,D
1000736,244237,22.04.2013,D
1000763,113303,20.05.2013,B
1000763,113982,28.05.2013,B
1000763,114057,08.06.2013,B
1000809,107669,17.05.2013,A
1000809,108050,24.05.2013,A
1000809,108737,01.06.2013,A
1000809,110186,15.06.2013,B
1000809,111120,20.06.2013,B
1000809,113168,30.06.2013,B
1000809,113750,02.07.2013,B
1000809,122122,15.08.2013,C
1000809,122528,21.08.2013,C
1000809,122533,29.08.2013,C
1000809,123143,04.09.2013,C
1000813,107926,19.01.2013,A
1000813,108737,25.01.2013,A
1000813,110251,16.02.2013,B
1000813,112474,20.02.2013,B
1000813,121863,28.02.2013,C
1000813,121955,14.03.2013,C
1000813,123094,21.03.2013,C
1000813,123162,01.04.2013,C
1000813,123201,06.04.2013,C
1000813,123229,11.04.2013,C
1000831,106836,19.02.2013,A
1000831,106871,26.02.2013,A
1000831,107007,02.03.2013,A
1000831,107840,07.02.2013,A
1000831,108530,11.02.2013,A
1000831,109810,21.02.2013,A
1000831,110466,05.03.2013,B
1000831,110677,12.03.2013,B
1000831,110986,17.03.2013,B
1000831,112586,24.03.2013,B
1000831,113210,31.03.2013,B
1000831,113545,01.04.2013,B
1000831,114387,05.04.2013,B
